INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,REMAINS_COLLECTED,MONTH,YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE OF FLIGHT,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE OF BIRD,DAMAGE LEVEL
8/6/15 0:00,WA,KMWH,GRANT COUNTY ARPT,MIL,MILITARY,C-17,,J2134,Gadwall,FALSE,8,2015,,,,,Take-off run,,,,,Small,E
7/29/15 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,UNKNOWN,,K5114,American kestrel,TRUE,7,2015,,,,,,,,,1,Small,
7/27/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),BOE,BOEING COMMERCIAL AIRPLANE GRP,B-777-300,D,YI010,Tree swallow,TRUE,7,2015,Day,1538,5,125,Approach,No Cloud,,2 to 10,2 to 10,Small,N
7/24/15 0:00,WA,KYKM,YAKIMA AIR TERMINAL/MCALLISTER FIELD,QXE,HORIZON AIR,DHC8 DASH 8,C,YL001,European starling,FALSE,7,2015,Day,1820,50,100,Climb,No Cloud,None,11 to 100,2 to 10,Small,N
7/23/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),BOE,BOEING COMMERCIAL AIRPLANE GRP,B-777,D,YL001,European starling,FALSE,7,2015,Day,1245,0,,Take-off run,No Cloud,None,11 to 100,1,Small,N
7/22/15 0:00,WA,KMWH,GRANT COUNTY ARPT,UNK,UNKNOWN,UNKNOWN,,1C2,Microbats,TRUE,7,2015,,,,,,,,,1,Small,
7/15/15 0:00,WA,KYKM,YAKIMA AIR TERMINAL/MCALLISTER FIELD,BUS,BUSINESS,C-172,A,YM403,Black-billed magpie,TRUE,7,2015,Day,2018,30,75,Approach,Some Cloud,None,1,1,Small,M
7/14/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,UNKNOWN,,Z6007,American robin,TRUE,7,2015,,,,,,,,,1,Small,
7/13/15 0:00,WA,KMWH,GRANT COUNTY ARPT,MIL,MILITARY,C-17,,K5114,American kestrel,FALSE,7,2015,,1020,700,,Take-off run,,,,,Small,C
7/12/15 0:00,WA,KMWH,GRANT COUNTY ARPT,BUS,BUSINESS,BRITISH AEROSPACE,,K5114,American kestrel,TRUE,7,2015,Day,1615,0,90,Take-off run,Some Cloud,None,1,1,Small,N
7/9/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,K5114,American kestrel,TRUE,7,2015,,,,,,,,,1,Small,
7/8/15 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,UNKNOWN,,K5114,American kestrel,TRUE,7,2015,,,,,,,,,1,Small,
7/7/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,BUS,BUSINESS,CHALLENGER 300,D,YH004,Horned lark,TRUE,7,2015,Day,1325,0,,Take-off run,Overcast,None,,1,Small,
7/3/15 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,UNKNOWN,,K5114,American kestrel,TRUE,7,2015,,,,,,,,,1,Small,
6/26/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,SWA,SOUTHWEST AIRLINES,B-737-700,D,UNKBS,Unknown bird - small,TRUE,6,2015,Night,2100,1000,210,Approach,No Cloud,None,,1,Small,N
6/19/15 0:00,WA,KMWH,GRANT COUNTY ARPT,UNK,UNKNOWN,UNKNOWN,,O2111,Rock pigeon,TRUE,6,2015,,,,,,,,,1,Small,
6/18/15 0:00,WA,KMWH,GRANT COUNTY ARPT,MIL,MILITARY,C-17,,UNK,,FALSE,6,2015,,2300,1000,,Approach,,,,,,N
6/17/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,A-320,D,NE1,Gulls,FALSE,6,2015,Night,345,0,110,Take-off run,No Cloud,None,1,1,Medium,N
6/16/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,UNK,UNKNOWN,UNKNOWN,,ZX017,American goldfinch,TRUE,6,2015,,,,,,,,,1,Small,
6/14/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,YL001,European starling,TRUE,6,2015,,,,,,,,,1,Small,
6/12/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,QXE,HORIZON AIR,DHC8 DASH 8,C,ZX017,American goldfinch,TRUE,6,2015,Day,1517,0,,Landing Roll,No Cloud,None,,1,Small,N
6/9/15 0:00,WA,KBLI,BELLINGHAM INTL,AMF,AMERIFLIGHT,BE-1900,C,N5111,Killdeer,TRUE,6,2015,Day,1800,0,100,Take-off run,No Cloud,None,2 to 10,1,Small,N
6/6/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R1101,Barn owl,TRUE,6,2015,,,,,,,,,1,Small,
6/4/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,UNK,UNKNOWN,UNKNOWN,,ZX000,Finches,TRUE,6,2015,,,,,,,,,1,Small,
6/4/15 0:00,WA,KGEG,SPOKANE INTERNATIONAL,UNK,UNKNOWN,UNKNOWN,,K5114,American kestrel,TRUE,6,2015,,,,,,,,,1,Small,
6/1/15 0:00,WA,KMWH,GRANT COUNTY ARPT,UNK,UNKNOWN,UNKNOWN,,YH004,Horned lark,TRUE,6,2015,,,,,,,,,1,Small,
5/30/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,Z6007,American robin,TRUE,5,2015,,,,,,,,,1,Small,
5/27/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,SWA,SOUTHWEST AIRLINES,B-737-700,D,ZX305,White-throated sparrow,TRUE,5,2015,Night,57,2500,170,Approach,Some Cloud,None,11 to 100,1,Small,N
5/26/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,OAE,OMNI AIR INTL,B-767-300,D,UNKBS,Unknown bird - small,FALSE,5,2015,Day,1552,3000,,Climb,No Cloud,None,1,1,Small,N
5/25/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,YI009,Cliff swallow,TRUE,5,2015,Day,1300,,,Climb,,,1,1,Small,N
5/23/15 0:00,WA,KPAE,SNOHOMISH CO (PAINE FIELD),UNK,UNKNOWN,UNKNOWN,,YI005,Barn swallow,TRUE,5,2015,,,,,,,,,1,Small,
5/22/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,ZS014,Yellow warbler,TRUE,5,2015,Day,,,,Approach,Overcast,,,1,Small,N
5/21/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,ZX303,Savannah sparrow,TRUE,5,2015,,,,,,,,,1,Small,
5/21/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,ZX303,Savannah sparrow,TRUE,5,2015,,,,,,,,,1,Small,
5/20/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,Z6007,American robin,TRUE,5,2015,,,,,,,,,1,Small,
5/18/15 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,BUS,BUSINESS,C-560,D,UNKBM,Unknown bird - medium,FALSE,5,2015,Day,1205,,,Climb,No Cloud,None,1,1,Medium,
5/16/15 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,UNKNOWN,,YH004,Horned lark,TRUE,5,2015,,,,,,,,,1,Small,
5/13/15 0:00,WA,KYKM,YAKIMA AIR TERMINAL/MCALLISTER FIELD,AMF,AMERIFLIGHT,EMB-120,C,I1102,Great blue heron,TRUE,5,2015,Day,1725,100,125,Climb,Some Cloud,None,,1,Large,N
5/12/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,K3311,Cooper's hawk,TRUE,5,2015,Day,1145,,,Descent,,,1,1,Small,N
5/10/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,Z6014,Hermit thrush,TRUE,5,2015,Night,2130,,,Descent,Overcast,None,,1,Small,N
5/10/15 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-900,D,ZS007,Wilson's warbler,TRUE,5,2015,Day,,,,Approach,Some Cloud,Rain,,1,Small,N
5/4/15 0:00,WA,KEAT,PANGBORN MEMORIAL,UNK,UNKNOWN,UNKNOWN,,YH004,Horned lark,TRUE,5,2015,,,,,,,,,1,Small,
5/4/15 0:00,WA,KPUW,PULLMAN/MOSCOW REGIONAL ARPT,QXE,HORIZON AIR,DHC8 DASH 8,C,UNKBS,Unknown bird - small,FALSE,5,2015,Night,2300,30,125,Approach,No Cloud,None,1,1,Small,N
