INCIDENT_MONTH,INCIDENT_YEAR,TIME,HEIGHT,SPEED
8,2015,,,
7,2015,,,
7,2015,1538,5,125
7,2015,1820,50,100
7,2015,1245,0,
7,2015,,,
7,2015,2018,30,75
7,2015,,,
7,2015,1020,700,
7,2015,1615,0,90
7,2015,,,
7,2015,,,
7,2015,1325,0,
7,2015,,,
6,2015,2100,1000,210
6,2015,,,
6,2015,2300,1000,
6,2015,345,0,110
6,2015,,,
6,2015,,,
6,2015,1517,0,
6,2015,1800,0,100
6,2015,,,
6,2015,,,
6,2015,,,
6,2015,,,
5,2015,,,
5,2015,57,2500,170
5,2015,1552,3000,
5,2015,1300,,
5,2015,,,
5,2015,,,
5,2015,,,
5,2015,,,
5,2015,,,
5,2015,1205,,
5,2015,,,
5,2015,1725,100,125
5,2015,1145,,
5,2015,2130,,
5,2015,,,
5,2015,,,
5,2015,2300,30,125
5,2015,2315,0,
5,2015,,0,
5,2015,,,
5,2015,,,
4,2015,,,
4,2015,,,
4,2015,1541,5,
4,2015,808,0,
4,2015,500,,
4,2015,805,,
4,2015,955,,
4,2015,,,
4,2015,1456,300,130
4,2015,,,
4,2015,,,
4,2015,,,
4,2015,,,
4,2015,,,
4,2015,2050,3500,210
4,2015,,,
4,2015,,,
4,2015,,,
4,2015,904,,
4,2015,912,0,120
4,2015,2122,950,160
4,2015,1600,0,
4,2015,,,
4,2015,2145,3000,200
4,2015,2040,200,75
4,2015,,,
3,2015,2327,,
3,2015,930,20,140
3,2015,,,
3,2015,913,0,
3,2015,1850,1200,130
3,2015,1350,0,
3,2015,,,
3,2015,,0,
3,2015,,,
3,2015,,3000,170
3,2015,,,
3,2015,8,0,
3,2015,939,0,
3,2015,,,
3,2015,132,0,
3,2015,900,0,
2,2015,,,
2,2015,,,
2,2015,,,
2,2015,,,
2,2015,1332,0,
2,2015,,,
2,2015,1300,,
2,2015,750,,
2,2015,,,
2,2015,,,
2,2015,,,
2,2015,,,
1,2015,2058,0,
1,2015,,,
1,2015,,,
1,2015,,,
1,2015,,,
1,2015,,,
1,2015,,,
1,2015,,,
12,2014,,,
12,2014,1030,,
12,2014,1442,0,
12,2014,1530,300,165
12,2014,,,
12,2014,1355,0,
11,2014,,,
11,2014,1300,2000,200
11,2014,1022,,120
11,2014,,,
11,2014,,,
11,2014,,,
